Organisation;Location;Detail;Rocket_Status;Mission_Status;Propellant;Thrust;Payload_to_LEO;Dry_Mass;Size
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | Fengyun-2A;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | ChinaSat 6;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2D | FSW-2 No.3;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | Chinasat-7;StatusRetired;Partial Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | Apstar 1A;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ESA;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | Cluster;StatusRetired;Failure;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B | Intelsat 708;StatusActive;Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 2E | EchoStar 1;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 2E | AsiaSat 2;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 2E | Apstar 2;StatusRetired;Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Chinasat-5;StatusActive;Partial Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 2E | Optus-B3;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | Apstar-1;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2D | FSW-2 No.2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Shijian 4, Kuafu-1 (mass simulator);StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-1 No.5;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 2E | Optus-B2;StatusRetired;Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-1 No.4, Freja;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 2E | Optus-B1;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2D | FSW-2 No.1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | DFH-2A-T5;StatusRetired;Partial Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-1 No.3;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Taiyuan Satellite Launch Center, China;Long March 4A | Fengyun-1B;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 2E | Optus-B, Badr-1, mass simulator;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | AsiaSat 1;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | DFH-2A-T4;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | DFH-2A-T3;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Taiyuan Satellite Launch Center, China;Long March 4A | Fengyun 1A;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-1 No.2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | DFH-2A-T2;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-1 No.1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-0 No.9;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-0 No.8;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | DFH-2A-T1;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-0 No.7;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-0 No.6;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | STTW 2 (Dong Fang Hong 2);StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | STTW 1 (Dong Fang Hong 2);StatusRetired;Partial Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-0 No.5;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-0 No.4;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
RVSN USSR;Site 41/1, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1069;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1068;StatusRetired;Partial Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1061;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 1060;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 41/1, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1059;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1050;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1049;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 41/1, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1047;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 41/1, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1046;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1044;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1042;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1033;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1032;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 41/1, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1031;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1029;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1028;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1022;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 1021;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1010;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1007;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1004;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1003;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 1002;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 999;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 995;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 993;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 992;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 989;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 988;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 987;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2 | FSW-0 No.3;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 986;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 984;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 974;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 973;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 969;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 966;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Soyuz 26;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 964;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 958;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Soyuz 25;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 957;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 953;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 950;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 949;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 948;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 947;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 938;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Zenit-4MKM nâ Â­399;StatusRetired;Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 936;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 935;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 934;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 932;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 927;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 922;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 920;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 916;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 915;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 914;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 912;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 908;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 907;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 905;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 904;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 902;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 898;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 897;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 896;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Zenit-4MK nâ Â­381;StatusRetired;Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 892;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Soyuz 24;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 889;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 888;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 884;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 879;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2 | FSW-0 No.2;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 869;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 867;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 866;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 865;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 863;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 23;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 859;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Zenit-4MKT nâ Â­370;StatusRetired;Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 857;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 856;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 855;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Soyuz 22;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 854;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 852;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 848;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 847;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 844;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 840;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 21;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 834;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 820;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 41/1, Plesetsk Cosmodrome, Russia;Soyuz M | Cosmos 811;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 809;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 806;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 805;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 782;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Soyuz 20;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2 | FSW-0 No.1;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 772;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 771;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 759;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 758;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
NASA;LC-39B, Kennedy Space Center, Florida, USA;Saturn IB | ASTP (Apollo???Soyuz Test Project);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
